SCHOOL_NAME,Admiral Seymour Elementary,LATITUDE,LONGITUDE,ADDRESS,SCHOOL_CATEGORY
ADMIRAL SEYMOUR ELEMENTARY,Admiral Seymour StrongStart Centre,49.27859427,-123.0803143,1130 Keefer St,Public School
ADMIRAL SEYMOUR STRONGSTART CENTRE,Alexander Academy,49.27859427,-123.0803143,1130 Keefer St,StrongStart BC
ALEXANDER ACADEMY,Anchor Point Montessori,49.2850006,-123.1140099,688 W Hastings St,Independent School
ANCHOR POINT MONTESSORI,BC Children's Adol. Psych. Unit,49.27706185,-123.1309189,1351 Hornby St,Independent School
BC CHILDREN'S ADOL. PSYCH. UNIT,BC Childrens Hosp School Program,49.23963096,-123.125791,5025 Willow St,Public School
BC CHILDRENS HOSP SCHOOL PROGRAM,BCCH Eating Disorders School Program,49.23963096,-123.125791,5025 Willow St,Public School
BCCH EATING DISORDERS SCHOOL PROGRAM,Bayview Community Elementary,49.23963096,-123.125791,5025 Willow St,Public School
BAYVIEW COMMUNITY ELEMENTARY,Blessed Sacrament School,49.26648701,-123.1823338,2251 Collingwood St,Public School
BLESSED SACRAMENT SCHOOL,Britannia Community Elementary,49.25833791,-123.1193909,3020 Heather St,Independent School
BRITANNIA COMMUNITY ELEMENTARY,Britannia Community Secondary,49.27451201,-123.0713788,1110 Cotton Drive,Public School
BRITANNIA COMMUNITY SECONDARY,Canuck Place School Program,49.27523599,-123.0719231,1001 Cotton Drive,Public School
CANUCK PLACE SCHOOL PROGRAM,Captain James Cook Elementary,49.25166953,-123.1430624,1690 Matthews Av,Public School
CAPTAIN JAMES COOK ELEMENTARY,Captain James Cook StrongStart Centre,49.2193808,-123.0358291,3340 E 54th Av,Public School
CAPTAIN JAMES COOK STRONGSTART CENTRE,Carnarvon Community Elementary,49.2193808,-123.0358291,3340 E 54th Av,StrongStart BC
CARNARVON COMMUNITY ELEMENTARY,Century High School,49.25658742,-123.1735572,3400 Balaclava St,Public School
CENTURY HIGH SCHOOL,Champlain Heights Annex,49.26338476,-123.1453144,1788 W Broadway,Independent School
CHAMPLAIN HEIGHTS ANNEX,Champlain Heights Annex StrongStart Cntr,49.21407843,-123.0305497,7835 Champlain Crescent,Public School
CHAMPLAIN HEIGHTS ANNEX STRONGSTART CNTR,Champlain Heights Community Elementary,49.21407843,-123.0305497,7835 Champlain Crescent,StrongStart BC
CHAMPLAIN HEIGHTS COMMUNITY ELEMENTARY,Charles Dickens Annex,49.2206403,-123.0277484,6955 Frontenac St,Public School
CHARLES DICKENS ANNEX,Charles Dickens Elementary,49.25021306,-123.0827103,3877 Glen Drive,Public School
CHARLES DICKENS ELEMENTARY,Chief Maquinna Annex,49.2548545,-123.0823906,1010 E 17th Av,Public School
CHIEF MAQUINNA ANNEX,Chief Maquinna Elementary,49.26642154,-123.0451181,2882 E 4th Av,Public School
CHIEF MAQUINNA ELEMENTARY,Chief Maquinna StrongStart Centre,49.26788631,-123.0505898,2684 E 2nd Av,Public School
CHIEF MAQUINNA STRONGSTART CENTRE,Children's Hearing and Speech Centre BC,49.26788631,-123.0505898,2684 E 2nd Av,StrongStart BC
CHILDREN'S HEARING AND SPEECH CENTRE BC,Collingwood Neighbourhood School,49.25235797,-123.0483494,3575 Kaslo St,Independent School
COLLINGWOOD NEIGHBOURHOOD SCHOOL,Collingwood StrongStart Centre,49.2363486,-123.032313,3417 Euclid Av,Public School
COLLINGWOOD STRONGSTART CENTRE,Columbia College,49.2363486,-123.032313,3417 Euclid Av,StrongStart BC
COLUMBIA COLLEGE,Continuing Ed SD 39,49.27155962,-123.0950777,438 Terminal Av,Independent School
CONTINUING ED SD 39,Corpus Christi School,49.26329988,-123.1402605,1580 W Broadway,Public School
CORPUS CHRISTI SCHOOL,Crofton House,49.22640611,-123.0575835,6344 Nanaimo St,Independent School
CROFTON HOUSE,Crosstown Elementary,49.23367783,-123.1772182,3200 W 41st Av,Independent School
CROSSTOWN ELEMENTARY,David Livingstone Elementary,49.278631,-123.106594,55 Expo Blvd,Public School
DAVID LIVINGSTONE ELEMENTARY,David Lloyd George Elementary,49.25075334,-123.0979814,315 E 23rd Av,Public School
DAVID LLOYD GEORGE ELEMENTARY,David Lloyd George StrongStart Centre,49.20996241,-123.1363489,8370 Cartier St,Public School
DAVID LLOYD GEORGE STRONGSTART CENTRE,David Oppenheimer Elementary,49.20996241,-123.1363489,8370 Cartier St,StrongStart BC
DAVID OPPENHEIMER ELEMENTARY,David Thompson Secondary,49.21331811,-123.0582933,2421 Scarboro Av,Public School
DAVID THOMPSON SECONDARY,Dr A R Lord Elementary,49.22043926,-123.0706316,1755 E 55th Av,Public School
DR A R LORD ELEMENTARY,Dr Annie B Jamieson Elementary,49.27964049,-123.0395172,555 Lillooet St,Public School
DR ANNIE B JAMIESON ELEMENTARY,Dr George M Weir Elementary,49.22690694,-123.1210043,6350 Tisdall St,Public School
DR GEORGE M WEIR ELEMENTARY,Dr H N MacCorkindale Elementary,49.22957876,-123.0444025,2900 E 44th Av,Public School
DR H N MACCORKINDALE ELEMENTARY,Dr R E McKechnie Elementary,49.22799019,-123.029355,6100 Battison St,Public School
DR R E MCKECHNIE ELEMENTARY,Ecole Jules Quesnel Elementary,49.21770659,-123.1540113,7455 Maple St,Public School
ECOLE JULES QUESNEL ELEMENTARY,Edith Cavell Elementary,49.25956781,-123.1925381,3050 Crown St,Public School
EDITH CAVELL ELEMENTARY,Elsie Roy Elementary,49.25290711,-123.1172288,500 W 20th Av,Public School
ELSIE ROY ELEMENTARY,Emily Carr Elementary,49.272238,-123.122482,150 Drake St,Public School
EMILY CARR ELEMENTARY,Eric Hamber Secondary,49.25004165,-123.1260964,4070 Oak St,Public School
ERIC HAMBER SECONDARY,False Creek Elementary,49.23963096,-123.125791,5025 Willow St,Public School
FALSE CREEK ELEMENTARY,Family Montessori School,49.26710311,-123.1268592,900 School Green,Public School
FAMILY MONTESSORI SCHOOL,Florence Nightingale Elementary,49.26766798,-123.198246,4196 W 4th Av,Independent School
FLORENCE NIGHTINGALE ELEMENTARY,Florence Nightingale StrongStart Centre,49.26005933,-123.0937176,2740 Guelph St,Public School
FLORENCE NIGHTINGALE STRONGSTART CENTRE,Fraser Academy,49.26005933,-123.0937176,2740 Guelph St,StrongStart BC
FRASER ACADEMY,G F Strong School Program,49.26266071,-123.157276,2294 W 10th Av,Independent School
G F STRONG SCHOOL PROGRAM,G T Cunningham Elementary,49.23963096,-123.125791,5025 Willow St,Public School
G T CUNNINGHAM ELEMENTARY,Garibaldi Annex,49.23673223,-123.057456,2330 E 37th Av,Public School
GARIBALDI ANNEX,General Brock Elementary,49.27541639,-123.0502688,1025 Slocan St,Public School
GENERAL BROCK ELEMENTARY,General Gordon Elementary,49.24121522,-123.1006314,4860 Main St,Public School
GENERAL GORDON ELEMENTARY,General Wolfe Elementary,49.2659799,-123.1706742,2896 W 6th Av,Public School
GENERAL WOLFE ELEMENTARY,Gladstone Secondary,49.24722871,-123.1059649,4251 Ontario St,Public School
GLADSTONE SECONDARY,Graham Bruce Community Elementary,49.24761204,-123.0616331,4105 Gladstone St,Public School
GRAHAM BRUCE COMMUNITY ELEMENTARY,Grandview Elementary,49.24206909,-123.0256727,3633 Tanner St,Public School
GRANDVIEW ELEMENTARY,Hastings Community Elementary,49.26619317,-123.0743697,2055 Woodland Dr,Public School
HASTINGS COMMUNITY ELEMENTARY,Henry Hudson Elementary,49.28261096,-123.0505774,2625 Franklin St,Public School
HENRY HUDSON ELEMENTARY,Immaculate Conception School,49.27224588,-123.1493563,1551 Cypress St,Public School
IMMACULATE CONCEPTION SCHOOL,Ivy Montessori School,49.24759061,-123.1877075,3745 W 28th Av,Independent School
IVY MONTESSORI SCHOOL,J.W. Sexsmith Community Elementary,49.2381148,-123.1620983,2490 W 37th Av,Independent School
J.W. SEXSMITH COMMUNITY ELEMENTARY,John Henderson Annex,49.21726779,-123.1087944,7455 Ontario St,Public School
JOHN HENDERSON ANNEX,John Henderson Elementary,49.22104214,-123.0880432,801 E 54th Av,Public School
JOHN HENDERSON ELEMENTARY,John Henderson StrongStart Centre,49.22256959,-123.0952717,451 E 53rd Av,Public School
JOHN HENDERSON STRONGSTART CENTRE,John Norquay Elementary,49.22104214,-123.0880432,801 E 54th Av,StrongStart BC
JOHN NORQUAY ELEMENTARY,John Oliver Secondary,49.2414247,-123.0516408,4710 Slocan St,Public School
JOHN OLIVER SECONDARY,Kerrisdale Annex,49.23195715,-123.0927978,530 E 41st Av,Public School
KERRISDALE ANNEX,Kerrisdale Elementary,49.232868,-123.177405,3250 W 43rd Av,Public School
KERRISDALE ELEMENTARY,Killarney Secondary,49.23616825,-123.1734592,5555 Carnarvon St,Public School
KILLARNEY SECONDARY,King David High School,49.22530011,-123.0441572,6454 Killarney St,Public School
KING DAVID HIGH SCHOOL,King George Secondary,49.23344818,-123.1227909,5718 Willow St,Independent School
KING GEORGE SECONDARY,Kitsilano Secondary,49.28982415,-123.1364452,1755 Barclay St,Public School
KITSILANO SECONDARY,L'Ecole Bilingue Elementary,49.26265477,-123.1635894,2550 W 10th Av,Public School
L'ECOLE BILINGUE ELEMENTARY,Laura Secord Elementary,49.25808403,-123.1303864,1166 W 14th Av,Public School
LAURA SECORD ELEMENTARY,Little Flower Academy,49.2617357,-123.0602234,2500 Lakewood Drive,Public School
LITTLE FLOWER ACADEMY,Lord Beaconsfield Elementary,49.24843134,-123.1422615,4195 Alexandra St,Independent School
LORD BEACONSFIELD ELEMENTARY,Lord Byng Secondary,49.25213838,-123.0526963,3663 Penticton St,Public School
LORD BYNG SECONDARY,Lord Kitchener Elementary,49.25956655,-123.192531,3939 W 16th Av,Public School
LORD KITCHENER ELEMENTARY,Lord Nelson Elementary,49.25058181,-123.1802456,3455 W King Edward Av,Public School
LORD NELSON ELEMENTARY,Lord Nelson StrongStart Centre,49.27250774,-123.0597121,2235 Kitchener St,Public School
LORD NELSON STRONGSTART CENTRE,Lord Roberts Annex,49.27250774,-123.0597121,2235 Kitchener St,StrongStart BC
LORD ROBERTS ANNEX,Lord Roberts Elementary,49.28309171,-123.129806,1150 Nelson St,Public School
LORD ROBERTS ELEMENTARY,Lord Selkirk Annex,49.28678528,-123.1378448,1100 Bidwell St,Public School
LORD SELKIRK ANNEX,Lord Selkirk Elementary,49.24532078,-123.0724601,4444 Dumfries St,Public School
LORD SELKIRK ELEMENTARY,Lord Selkirk StrongStart Centre,49.24969195,-123.0690071,1750 E 22nd Av,Public School
LORD SELKIRK STRONGSTART CENTRE,Lord Strathcona Community Elementary,49.24969195,-123.0690071,1750 E 22nd Av,StrongStart BC
LORD STRATHCONA COMMUNITY ELEMENTARY,Lord Tennyson Elementary,49.27981152,-123.0914768,592 E Pender St,Public School
LORD TENNYSON ELEMENTARY,MacDonald StrongStart Centre,49.26251894,-123.1493771,1936 W 10th Av,Public School
MACDONALD STRONGSTART CENTRE,Madrona School,49.28072391,-123.0646791,1950 E Hastings St,StrongStart BC
MADRONA SCHOOL,Magee Secondary,49.26352826,-123.1660106,2678 W Broadway,Independent School
MAGEE SECONDARY,Maple Grove Elementary,49.22855387,-123.151538,6360 Maple St,Public School
MAPLE GROVE ELEMENTARY,Mount Pleasant Elementary,49.2294087,-123.1515149,6199 Cypress St,Public School
MOUNT PLEASANT ELEMENTARY,Mount Pleasant StrongStart Centre,49.26396573,-123.0939995,2300 Guelph St,Public School
MOUNT PLEASANT STRONGSTART CENTRE,Nootka Community Elementary,49.26396573,-123.0939995,2300 Guelph St,StrongStart BC
NOOTKA COMMUNITY ELEMENTARY,Norma Rose Point School,49.25359297,-123.0429492,3375 Nootka St,Public School
NORMA ROSE POINT SCHOOL,Notre Dame Regional Secondary,49.25779177,-123.2011278,4102 W 16th Av,Public School
NOTRE DAME REGIONAL SECONDARY,Our Lady of Perpetual Help,49.27580284,-123.0455666,2880 Venables St,Independent School
OUR LADY OF PERPETUAL HELP,Our Lady of Sorrows,49.26413507,-123.1961794,2550 Camosun St,Independent School
OUR LADY OF SORROWS,PALS Autism School,49.27957122,-123.0501537,575 Slocan St,Independent School
PALS AUTISM SCHOOL,Pacific Rim Montessori Academy,49.28051481,-123.0559543,2409 E Pender St,Independent School
PACIFIC RIM MONTESSORI ACADEMY,Pacific Spirit School,49.2697858,-123.1624436,1819 Larch St,Independent School
PACIFIC SPIRIT SCHOOL,Pacific Torah Institute,49.26766798,-123.198246,4196 W 4th Av,Independent School
PACIFIC TORAH INSTITUTE,Pacific Torah Institute International,49.23342157,-123.1276123,5750 Oak St,Independent School
PACIFIC TORAH INSTITUTE INTERNATIONAL,Pattison High School,49.23342157,-123.1276123,5750 Oak St,Independent School
PATTISON HIGH SCHOOL,Pattison School,49.28108362,-123.1251133,981 Nelson St,Independent School
PATTISON SCHOOL,Peak House,49.28108362,-123.1251133,981 Nelson St,Independent School
PEAK HOUSE,Pierre Elliott Trudeau Elementary,49.26329988,-123.1402605,1580 W Broadway,Public School
PIERRE ELLIOTT TRUDEAU ELEMENTARY,Point Grey Secondary,49.21445401,-123.096959,449 E 62nd Av,Public School
POINT GREY SECONDARY,Prince of Wales Secondary,49.23728904,-123.1534306,5350 East Boulevard,Public School
PRINCE OF WALES SECONDARY,Prov. Early Intervention Resource Prg,49.24498305,-123.1595357,2250 Eddington Drive,Public School
PROV. EARLY INTERVENTION RESOURCE PRG,Queen Alexandra Elementary,49.2363486,-123.032313,3417 Euclid Av,Public School
QUEEN ALEXANDRA ELEMENTARY,Queen Alexandra StrongStart Centre,49.26197055,-123.0759206,1300 E Broadway ,Public School
QUEEN ALEXANDRA STRONGSTART CENTRE,Queen Elizabeth Annex,49.26197055,-123.0759206,1300 E Broadway,StrongStart BC
QUEEN ELIZABETH ANNEX,Queen Elizabeth Elementary,49.24893678,-123.1946911,4275 Crown St,Public School
QUEEN ELIZABETH ELEMENTARY,Queen Mary Elementary,49.25779177,-123.2011278,4102 W 16th Av,Public School
QUEEN MARY ELEMENTARY,Queen Victoria Annex,49.26785642,-123.204797,2000 Trimble St,Public School
QUEEN VICTORIA ANNEX,Quilchena Elementary,49.26718785,-123.0663487,1850 E 3rd Av,Public School
QUILCHENA ELEMENTARY,Renfrew Community Elementary,49.23724621,-123.1515708,5300 Maple St,Public School
RENFREW COMMUNITY ELEMENTARY,Royal Canadian College,49.25145778,-123.0320581,3315 E 22nd Av,Public School
ROYAL CANADIAN COLLEGE,SD 39 DL Elementary,49.20724202,-123.1186077,8610 Ash St,Independent School
SD 39 DL ELEMENTARY,Shaughnessy Elementary,49.27541639,-123.0502688,1025 Slocan St,Public School
SHAUGHNESSY ELEMENTARY,Simon Fraser Elementary,49.24867608,-123.14381,4250 Marguerite St,Public School
SIMON FRASER ELEMENTARY,Sir Alexander Mackenzie Elementary,49.25717136,-123.1081969,100 W 15th Av,Public School
SIR ALEXANDER MACKENZIE ELEMENTARY,Sir Alexander Mackenzie StrongStart,49.23453644,-123.0867143,960 E 39th Av,Public School
SIR ALEXANDER MACKENZIE STRONGSTART,Sir Charles Kingsford-Smith,49.23453644,-123.0867143,960 E 39th Av,StrongStart BC
SIR CHARLES KINGSFORD-SMITH,Sir Charles Tupper Secondary,49.22159667,-123.0557042,6901 Elliott St,Public School
SIR CHARLES TUPPER SECONDARY,Sir Guy Carleton Community Elementary,49.2497535,-123.0948095,419 E 24th Av,Public School
SIR GUY CARLETON COMMUNITY ELEMENTARY,Sir James Douglas Annex,49.23434775,-123.037608,3250 Kingsway,Public School
SIR JAMES DOUGLAS ANNEX,Sir James Douglas Elementary,49.21483047,-123.0732935,7668 Borden St,Public School
SIR JAMES DOUGLAS ELEMENTARY,Sir John Franklin Community,49.21604933,-123.0646532,2150 Brigadoon Av,Public School
SIR JOHN FRANKLIN COMMUNITY,Sir Matthew Begbie Elementary,49.2824962,-123.0275857,250S Skeena St,Public School
SIR MATTHEW BEGBIE ELEMENTARY,Sir Richard McBride Annex,49.2718308,-123.03801,1430 Lillooet St,Public School
SIR RICHARD MCBRIDE ANNEX,Sir Richard McBride Elementary,49.24194423,-123.0849502,4750 St. Catherines St,Public School
SIR RICHARD MCBRIDE ELEMENTARY,Sir Sandford Fleming Elementary,49.24415661,-123.0781755,1300 E 29th Av,Public School
SIR SANDFORD FLEMING ELEMENTARY,Sir Wilfred Grenfell Community,49.22574769,-123.0765741,1401 E 49th Av,Public School
SIR WILFRED GRENFELL COMMUNITY,Sir Wilfred Grenfell StrongStart Centre,49.24289162,-123.0348074,3323 Wellington Av,Public School
SIR WILFRED GRENFELL STRONGSTART CENTRE,Sir Wilfrid Laurier Annex,49.24289162,-123.0348074,3323 Wellington Av,StrongStart BC
SIR WILFRID LAURIER ANNEX,Sir Wilfrid Laurier Elementary,49.210718,-123.1194453,590 W 65th Av,Public School
SIR WILFRID LAURIER ELEMENTARY,Sir William Macdonald Community,49.21776254,-123.1250472,7350 Laurel St,Public School
SIR WILLIAM MACDONALD COMMUNITY,Sir William Osler Elementary,49.28072391,-123.0646791,1950 E Hastings St,Public School
SIR WILLIAM OSLER ELEMENTARY,Sir Winston Churchill Secondary,49.23076242,-123.1326622,5970 Selkirk St,Public School
SIR WINSTON CHURCHILL SECONDARY,Sir Wm Van Horne Elementary,49.22105957,-123.1256155,7055 Heather St,Public School
SIR WM VAN HORNE ELEMENTARY,Southlands Elementary,49.23156649,-123.1065692,5855 Ontario St,Public School
SOUTHLANDS ELEMENTARY,St Andrew's,49.23813759,-123.1978152,5351 Camosun St,Public School
ST ANDREW'S,St Anthony of Padua,49.22721361,-123.0958559,450 E 47th Av,Independent School
ST ANTHONY OF PADUA,St Augustine's,49.20446494,-123.1370079,1370 W 73rd Av,Independent School
ST AUGUSTINE'S,St Francis Xavier,49.26517255,-123.1535522,2145 W 8th Av,Independent School
ST FRANCIS XAVIER,St Francis of Assisi,49.26646231,-123.0945206,428 Great Northern Way,Independent School
ST FRANCIS OF ASSISI,St George's School,49.27688164,-123.0650486,870 Victoria Drive,Independent School
ST GEORGE'S SCHOOL,St John's International,49.24758227,-123.198465,4175 W 29th Av,Independent School
ST JOHN'S INTERNATIONAL,St John's School,49.26404098,-123.1478988,1885 W Broadway,Independent School
ST JOHN'S SCHOOL,St Joseph's,49.26317767,-123.1561791,2215 W 10th Av,Independent School
ST JOSEPH'S,St Jude's,49.25591441,-123.0716471,3261 Fleming St,Independent School
ST JUDE'S,St Mary's,49.25654579,-123.0426267,2953 E 15th Av,Independent School
ST MARY'S,St Patrick Regional Secondary,49.23750163,-123.0337059,5239 Joyce St,Independent School
ST PATRICK REGIONAL SECONDARY,St Patrick's Elementary,49.26140455,-123.1026044,115 E 11th Av,Independent School
ST PATRICK'S ELEMENTARY,Stratford Hall,49.2597623,-123.1024367,2850 Quebec St,Independent School
STRATFORD HALL,Sunny Hill Hospital Program,49.25746922,-123.0694633,3000 Commercial Drive,Independent School
SUNNY HILL HOSPITAL PROGRAM,Tecumseh Annex,49.24651246,-123.0371743,3155 E 27th Av,Public School
TECUMSEH ANNEX,Tecumseh Elementary,49.23711627,-123.0730988,1551 E 37th Av,Public School
TECUMSEH ELEMENTARY,Templeton Secondary,49.23205574,-123.0680039,1850 E 41st Av,Public School
TEMPLETON SECONDARY,The Westside School,49.27843909,-123.0606911,727 Templeton Drive,Public School
THE WESTSIDE SCHOOL,Thunderbird Elementary,49.27757065,-123.1134435,788 Beatty St,Independent School
THUNDERBIRD ELEMENTARY,Thunderbird StrongStart Centre,49.26364889,-123.0318706,2325 Cassiar St,Public School
THUNDERBIRD STRONGSTART CENTRE,Tillicum Annex StrongStart Centre,49.26364889,-123.0318706,2325 Cassiar St,StrongStart BC
TILLICUM ANNEX STRONGSTART CENTRE,Tillicum Community Annex,49.28626346,-123.0555985,2450 Cambridge St,StrongStart BC
TILLICUM COMMUNITY ANNEX,Trafalgar Elementary,49.28626346,-123.0555985,2450 Cambridge St,Public School
TRAFALGAR ELEMENTARY,Tyee Elementary,49.25017876,-123.1646061,4170 Trafalgar St,Public School
TYEE ELEMENTARY,Vancouver Alternate,49.25356936,-123.0738216,3525 Dumphries St,Public School
VANCOUVER ALTERNATE,Vancouver Christian,49.26329988,-123.1402605,1580 W Broadway,Public School
VANCOUVER CHRISTIAN,Vancouver College,49.25471222,-123.0285669,3496 Mons Drive,Independent School
VANCOUVER COLLEGE,Vancouver College DL,49.23495942,-123.1361713,5400 Cartier St,Independent School
VANCOUVER COLLEGE DL,Vancouver Formosa Academy,49.23495942,-123.1361713,5400 Cartier St,Independent School
VANCOUVER FORMOSA ACADEMY,Vancouver Hebrew Academy,49.23374742,-123.0463674,5621 Killarney St,Independent School
VANCOUVER HEBREW ACADEMY,Vancouver Learning Network,49.21547173,-123.1413693,1545 W 62nd Av,Independent School
VANCOUVER LEARNING NETWORK,Vancouver Montessori School,49.23195715,-123.0927978,530 E 41st Av,Public School
VANCOUVER MONTESSORI SCHOOL,Vancouver Talmud Torah Elementary,49.2077904,-123.1446336,8650 Barnard St,Independent School
VANCOUVER TALMUD TORAH ELEMENTARY,Vancouver Technical Secondary,49.24757967,-123.126822,998 W 26th Av,Independent School
VANCOUVER TECHNICAL SECONDARY,Walter Moberly Elementary,49.26075548,-123.0512998,2600 E Broadway,Public School
WALTER MOBERLY ELEMENTARY,Walter Moberly StrongStart Centre,49.21610923,-123.0843454,1000 E 59th Av,Public School
WALTER MOBERLY STRONGSTART CENTRE,Waverley Elementary,49.21610923,-123.0843454,1000 E 59th Av,StrongStart BC
WAVERLEY ELEMENTARY,Waverley StrongStart Centre,49.22783723,-123.0557859,6111 Elliott St,Public School
WAVERLEY STRONGSTART CENTRE,West Coast Christian School,49.22783723,-123.0557859,6111 Elliott St,StrongStart BC
WEST COAST CHRISTIAN SCHOOL,West Point Grey Academy,49.28498447,-123.0445361,15 N Renfrew St,Independent School
WEST POINT GREY ACADEMY,Westside Montessori,49.26706635,-123.2015074,4125 W 8th Av,Independent School
WESTSIDE MONTESSORI,Westside Montessori Academy,49.24857413,-123.1280001,4157 Oak St,Independent School
WESTSIDE MONTESSORI ACADEMY,Windermere Community Secondary,49.25693785,-123.0503919,3075 Slocan St,Independent School
WINDERMERE COMMUNITY SECONDARY,York House Little School,49.24651246,-123.0371743,3155 E 27th Av,Public School
YORK HOUSE LITTLE SCHOOL,York House School,49.25671,-123.152101,3274 East Boulevard,Independent School
YORK HOUSE SCHOOL,,49.24884822,-123.1403401,4176 Alexandra St,Independent School
,,,,,
